timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1545743656979,enter,b3811,,diagnosis,,mobile
1545743687786,respond,q5279,,diagnosis,b,mobile
1545743692016,submit,b3811,,diagnosis,,mobile
1545743692097,enter,b3282,,diagnosis,,mobile
1545743698830,respond,q4750,,diagnosis,a,mobile
1545743702542,submit,b3282,,diagnosis,,mobile
1545743702617,enter,b3822,,diagnosis,,mobile
1545743711258,respond,q5290,,diagnosis,b,mobile
1545743715289,submit,b3822,,diagnosis,,mobile
1545743715364,enter,b4980,,diagnosis,,mobile
1545743735391,respond,q6448,,diagnosis,d,mobile
1545743749046,submit,b4980,,diagnosis,,mobile
1545743794065,enter,b4980,,diagnosis,,mobile
1545743795590,respond,q6448,,diagnosis,b,mobile
1545743799807,submit,b4980,,diagnosis,,mobile
1545743799894,enter,b2635,,diagnosis,,mobile
1545743815482,respond,q4103,,diagnosis,c,mobile
1545743819309,submit,b2635,,diagnosis,,mobile
1545743819394,enter,b2591,,diagnosis,,mobile
1545743837804,respond,q4059,,diagnosis,d,mobile
1545743841262,submit,b2591,,diagnosis,,mobile
1545743841328,enter,b2557,,diagnosis,,mobile
1545743859608,respond,q4025,,diagnosis,b,mobile
1545743864099,submit,b2557,,diagnosis,,mobile
1545743864168,enter,b4307,,diagnosis,,mobile
1545743892255,respond,q5775,,diagnosis,d,mobile
1545743895789,submit,b4307,,diagnosis,,mobile
1545743895859,enter,b3667,,diagnosis,,mobile
1545743914841,respond,q5135,,diagnosis,a,mobile
1545743918496,submit,b3667,,diagnosis,,mobile
1545743918568,enter,b4745,,diagnosis,,mobile
1545743927171,respond,q6213,,diagnosis,b,mobile
1545743935249,submit,b4745,,diagnosis,,mobile
1545744016502,enter,b2467,,sprint,,mobile
1545744020997,respond,q3935,,sprint,b,mobile
1545744023917,submit,b2467,,sprint,,mobile
1545744023974,enter,e2467,,sprint,,mobile
1545744038192,quit,e2467,,sprint,,mobile
1545744040451,enter,e2467,,sprint,,mobile
1545744046971,quit,e2467,,sprint,,mobile
1545744047033,enter,b2460,,sprint,,mobile
1545744055648,respond,q3928,,sprint,d,mobile
1545744058293,submit,b2460,,sprint,,mobile
1545744058356,enter,e2460,,sprint,,mobile
1545744076570,quit,e2460,,sprint,,mobile
1545744076626,enter,b3096,,sprint,,mobile
1545744093650,respond,q4564,,sprint,a,mobile
1545744096052,submit,b3096,,sprint,,mobile
1545744096096,enter,e3096,,sprint,,mobile
1545744102489,quit,e3096,,sprint,,mobile
1545744102546,enter,b6154,,sprint,,mobile
1545744116239,respond,q8803,,sprint,b,mobile
1545744117921,respond,q8803,,sprint,d,mobile
1545744120085,submit,b6154,,sprint,,mobile
1545744120133,enter,e6154,,sprint,,mobile
1545744133716,quit,e6154,,sprint,,mobile
1545744133776,enter,b5148,,sprint,,mobile
1545744147202,respond,q6742,,sprint,c,mobile
1545744149754,submit,b5148,,sprint,,mobile
1545744149800,enter,e5148,,sprint,,mobile
1545744183444,quit,e5148,,sprint,,mobile
1545744187643,enter,e5148,,sprint,,mobile
1545744193849,quit,e5148,,sprint,,mobile
1545744193907,enter,b4178,,sprint,,mobile
1545744213463,respond,q5646,,sprint,a,mobile
1545744214642,respond,q5646,,sprint,b,mobile
1545744215974,respond,q5646,,sprint,a,mobile
1545744218965,respond,q5646,,sprint,b,mobile
1545744220997,submit,b4178,,sprint,,mobile
1545744221051,enter,e4178,,sprint,,mobile
1545744272726,quit,e4178,,sprint,,mobile
1545744272774,enter,b4606,,sprint,,mobile
1545744296270,respond,q6074,,sprint,a,mobile
1545744297541,respond,q6074,,sprint,c,mobile
1545744298164,respond,q6074,,sprint,a,mobile
1545744301191,submit,b4606,,sprint,,mobile
1545744301244,enter,e4606,,sprint,,mobile
1545744309470,quit,e4606,,sprint,,mobile
1545744309530,enter,b7309,,sprint,,mobile
1545744324079,respond,q9958,,sprint,b,mobile
1545744327023,submit,b7309,,sprint,,mobile
1545744327075,enter,e7309,,sprint,,mobile
1545744371064,quit,e7309,,sprint,,mobile
1545744373164,enter,e7309,,sprint,,mobile
1545744378210,quit,e7309,,sprint,,mobile
1545744378276,enter,b4029,,sprint,,mobile
1545744385803,respond,q5497,,sprint,d,mobile
1545744387240,respond,q5497,,sprint,a,mobile
1545744387779,respond,q5497,,sprint,b,mobile
1545744399974,respond,q5497,,sprint,a,mobile
1545744401419,respond,q5497,,sprint,c,mobile
1545744402727,respond,q5497,,sprint,a,mobile
1545744406163,submit,b4029,,sprint,,mobile
1545744406225,enter,e4029,,sprint,,mobile
1545744441445,quit,e4029,,sprint,,mobile
1545744441503,enter,b4867,,sprint,,mobile
1545744455071,respond,q6335,,sprint,b,mobile
1545744460401,submit,b4867,,sprint,,mobile
1545744460457,enter,e4867,,sprint,,mobile
1545744479935,quit,e4867,,sprint,,mobile
1545744492391,enter,e4867,,sprint,,mobile
1545744504650,quit,e4867,,sprint,,mobile
