timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1566655620179,enter,b4330,,diagnosis,,mobile
1566655648511,respond,q5798,,diagnosis,c,mobile
1566655655264,submit,b4330,,diagnosis,,mobile
1566655655337,enter,b5624,,diagnosis,,mobile
1566655655589,play_audio,b5624,0,diagnosis,,mobile
1566655665047,erase_choice,q8153,,diagnosis,a,mobile
1566655669414,erase_choice,q8153,,diagnosis,b,mobile
1566655678194,pause_audio,b5624,23539,diagnosis,,mobile
1566655679727,respond,q8153,,diagnosis,c,mobile
1566655684446,submit,b5624,,diagnosis,,mobile
1566655684528,enter,b4914,,diagnosis,,mobile
1566655704223,respond,q6382,,diagnosis,b,mobile
1566655709147,submit,b4914,,diagnosis,,mobile
1566655709219,enter,b4410,,diagnosis,,mobile
1566655732205,respond,q5878,,diagnosis,c,mobile
1566655736462,submit,b4410,,diagnosis,,mobile
1566655736553,enter,b2635,,diagnosis,,mobile
1566655765826,respond,q4103,,diagnosis,c,mobile
1566655769604,submit,b2635,,diagnosis,,mobile
1566655769673,enter,b4449,,diagnosis,,mobile
1566655793507,erase_choice,q5917,,diagnosis,d,mobile
1566655795933,respond,q5917,,diagnosis,d,mobile
1566655799031,submit,b4449,,diagnosis,,mobile
1566655799103,enter,b5647,,diagnosis,,mobile
1566655799415,play_audio,b5647,0,diagnosis,,mobile
1566655808591,erase_choice,q8176,,diagnosis,a,mobile
1566655817171,erase_choice,q8176,,diagnosis,c,mobile
1566655820277,pause_audio,b5647,21792,diagnosis,,mobile
1566655826458,respond,q8176,,diagnosis,b,mobile
1566655830880,submit,b5647,,diagnosis,,mobile
1566655830961,enter,b99,,diagnosis,,mobile
1566655831357,play_audio,b99,0,diagnosis,,mobile
1566655844637,erase_choice,q99,,diagnosis,b,mobile
1566655848383,erase_choice,q99,,diagnosis,c,mobile
1566655852038,pause_audio,b99,21602,diagnosis,,mobile
1566655853044,respond,q99,,diagnosis,a,mobile
1566655856975,submit,b99,,diagnosis,,mobile
1566655857012,enter,b3531,,diagnosis,,mobile
1566655923300,respond,q4999,,diagnosis,a,mobile
1566655928045,submit,b3531,,diagnosis,,mobile
1566655928114,enter,b6046,,diagnosis,,mobile
1566655941353,respond,q8695,,diagnosis,a,mobile
1566655945356,submit,b6046,,diagnosis,,mobile
1566655945419,enter,b2445,,diagnosis,,mobile
1566655969538,respond,q3913,,diagnosis,c,mobile
1566655975812,submit,b2445,,diagnosis,,mobile
1566656140477,enter,b887,,sprint,,mobile
1566656141027,play_audio,b887,0,sprint,,mobile
1566656150958,erase_choice,q887,,sprint,a,mobile
1566656157880,pause_audio,b887,17241,sprint,,mobile
